,body,name,location
0,femur_l,addbrev_l-P2,[-0.0211591372703213  -0.1128182874337344  -0.04244030752940665]
1,femur_l,addlong_l-P2,[ 0.01132888845036771 -0.23202606023385902  0.00013605467292165]
2,femur_l,addmagDist_l-P2,[ 0.01100251051551349 -0.2536499756905494  -0.00493977292723234]
3,femur_l,addmagIsch_l-P2,[-0.00007967022425139 -0.3689612679675946   0.0319898126224587 ]
4,femur_l,addmagMid_l-P2,[-0.01253266766252602 -0.1561868177539188  -0.03586240694663236]
5,femur_l,addmagProx_l-P2,[ 0.0088764769004826  -0.07391144151240157 -0.00427172711358879]
6,femur_l,bfsh_l-P1,[ 0.00591542192578144 -0.2038109592133218  -0.00796703941066348]
7,femur_l,gaslat_l-P1,[ 0.00223201372426294 -0.3619770097738469  -0.0269461756129546 ]
8,femur_l,gasmed_l-P1,[ 0.00259153073535005 -0.35607696017460855  0.021905006694654  ]
9,femur_l,glmax1_l-P3,[-0.04229247218794449 -0.02409826095262596 -0.03293301388379447]
10,femur_l,glmax1_l-P4,[-0.01103681202490629 -0.04952552216800567 -0.02844343325641238]
11,femur_l,glmax2_l-P3,[-0.03899102809164258 -0.04974189614617933 -0.02241414907001433]
12,femur_l,glmax2_l-P4,[-0.0220352499560423  -0.09535371055275357 -0.04112683924924068]
13,femur_l,glmax3_l-P3,[-0.03695618003889649 -0.10345349542728473 -0.03311345438015396]
14,femur_l,glmax3_l-P4,[-0.03269760531889215 -0.13473345586207194 -0.06091894867018091]
15,femur_l,glmed1_l-P2,[-0.01175091420867622 -0.01270150467438418 -0.05742645407600134]
16,femur_l,glmed2_l-P2,[-0.02030335080134142 -0.00336612859002284 -0.05737492677237762]
17,femur_l,glmed3_l-P2,[-0.0282249770755732   0.00330847791862752 -0.05437279148902052]
18,femur_l,glmin1_l-P2,[ 0.00663009667857598 -0.01325409859540548 -0.0506788997510879 ]
19,femur_l,glmin2_l-P2,[ 0.00536660808572334 -0.00747415368380959 -0.04881464338078755]
20,femur_l,glmin3_l-P2,[-0.00338262766260346  0.00196807025504796 -0.05073328174863095]
21,femur_l,iliacus_l-P3,[ 0.0093607954107075  -0.05381604986432808  0.00112251941532409]
22,femur_l,iliacus_l-P4,[ 0.00229490023288206 -0.05915532721343166 -0.00229528269288737]
23,femur_l,piri_l-P3,[-0.01357130624441684  0.00116732884156943 -0.04483341259751804]
24,femur_l,psoas_l-P3,[-0.01086910156377247 -0.04292160826719604 -0.00011791287339845]
25,femur_l,psoas_l-P4,[-0.02205681789653072 -0.04670032160245529 -0.0060516059854682 ]
26,femur_l,sart_l-P2,[-0.0283555828460724  -0.3473487442876848   0.02626870458425025]
27,femur_l,tfl_l-P2,[ 0.03620339472678295 -0.10062005265343364 -0.03489355611628418]
28,femur_l,tfl_l-P3,[ 0.00984836796343686 -0.3899622896674938  -0.02999001882413852]
29,femur_l,vasint_l-P1,[ 0.02681928045108888 -0.18932206213753724 -0.01587150542008135]
30,femur_l,vasint_l-P2,[ 0.03293178525518176 -0.20530977332408992 -0.01052957157445741]
31,femur_l,vaslat_l-P1,[-0.0007899987449093  -0.17867144925563822 -0.02748943721028578]
32,femur_l,vaslat_l-P2,[ 0.02942907707666831 -0.25145659449594077 -0.02251025669931002]
33,femur_l,vasmed_l-P1,[ 0.01428191520323635 -0.20423160076422603 -0.00277011727271485]
34,femur_l,vasmed_l-P2,[ 0.02893080652191747 -0.27220654513427256  0.01135097083114523]
