,body,name,location
0,femur_r,femur_r_center,[0. 0. 0.]
1,femur_r,knee_r_lat,[-0.00000000000000008 -0.3776122361164453   0.03743991788214939]
2,femur_r,knee_r_med,[-0.00000000000000008 -0.38353540811374026 -0.0374399178821495 ]
3,femur_r,gr_troch_as_r,[ 0.00275239656481173 -0.00848152485143484  0.04621223313755059]
4,femur_r,gr_troch_lat_r,[-0.01681245137866298 -0.01458154000875086  0.0582526062817774 ]
5,femur_r,gr_troch_ps_r,[-0.02798497866674684  0.00952756756086347  0.03789621632496376]
6,femur_r,ls_troch_r,[-0.02661264463218173 -0.04780778324002972  0.00852394462080244]
7,femur_r,knee_r_center_in_femur_r,[-0.00008592514684046 -0.38064508392695484 -0.00129662134372074]
8,femur_r,femur_r_midshaft_anter,[ 0.0251924285855041  -0.19295646427083119  0.01524919470138554]
9,femur_r,femur_r_midshaft_poster,[ 0.00521350340353659 -0.18956740572244332  0.01697695834252288]
10,femur_r,femur_r_anter_diaph_25,[ 0.01181203168546018 -0.09736302309875501  0.02485864279901512]
11,femur_r,femur_r_poster_diaph_25,[-0.01409391794693355 -0.09127710540130325  0.03326910562216495]
12,femur_r,femur_r_anter_diaph_75,[ 0.02920749935562751 -0.28751873481084794  0.00745418123292059]
13,femur_r,femur_r_poster_diaph_75,[ 0.00661467421204276 -0.283598396349765    0.00959045564092709]
14,femur_r,patella_r_in_femur_r,[ 0.04136963044643471 -0.40210182193702737 -0.00300016972296909]
