,body,name,location
0,femur_r,addbrev_r-P2,[-0.0167610323743248  -0.10953640816931964  0.04310519167484825]
1,femur_r,addlong_r-P2,[ 0.00907678589337451 -0.22808422186838426  0.00275429640545313]
2,femur_r,addmagDist_r-P2,[ 0.00907734833011044 -0.24907762734432823  0.00821336871506301]
3,femur_r,addmagIsch_r-P2,[ 0.00239806631412921 -0.3658163974464636  -0.03284289581415661]
4,femur_r,addmagMid_r-P2,[-0.00974481538780803 -0.15241040200130274  0.03674924300794714]
5,femur_r,addmagProx_r-P2,[ 0.00177658024709527 -0.07195394721641953  0.0059718055552296 ]
6,femur_r,bfsh_r-P1,[ 0.00351367676493877 -0.20008590735172935  0.00996738741801315]
7,femur_r,gaslat_r-P1,[ 0.00123674360780512 -0.354958951000789    0.02729002720322498]
8,femur_r,gasmed_r-P1,[ 0.0073357958386447  -0.35415339012669417 -0.02233740188683402]
9,femur_r,glmax1_r-P3,[-0.04264308670934299 -0.02184889395132706  0.0322423193176225 ]
10,femur_r,glmax1_r-P4,[-0.01480721564048646 -0.04686713812314627  0.02959566248722965]
11,femur_r,glmax2_r-P3,[-0.04178777555735001 -0.04757211691759258  0.02289921676778462]
12,femur_r,glmax2_r-P4,[-0.02077165991911131 -0.09239726373615498  0.04269193927222505]
13,femur_r,glmax3_r-P3,[-0.03676755617026688 -0.09899950126075202  0.03570845220387921]
14,femur_r,glmax3_r-P4,[-0.02650591119619234 -0.13049463887129972  0.06247198948146601]
15,femur_r,glmed1_r-P2_0,[-0.00952878770990939 -0.00958095630269725  0.05762721237400596]
16,femur_r,glmed2_r-P2_0,[-0.01772990536449736  0.00011212865362037  0.05729299768629813]
17,femur_r,glmed3_r-P2_0,[-0.02583118219358471  0.00673345482652528  0.05419694046546553]
18,femur_r,glmin1_r-P2,[ 0.00690585130903161 -0.01071514883629243  0.05099890216323524]
19,femur_r,glmin2_r-P2,[ 0.00662499326698456 -0.00470589941184772  0.04928192230704995]
20,femur_r,glmin3_r-P2,[-0.00050964745423889  0.00443527028648529  0.05069602894042516]
21,femur_r,iliacus_r-P3,[ 0.00622033037405301 -0.05295984179634223 -0.00014586552879369]
22,femur_r,iliacus_r-P4,[-0.00159133023188057 -0.05777812544899584  0.00370782260738196]
23,femur_r,piri_r-P3,[-0.01125123938896903  0.00381562384037591  0.04466638563883223]
24,femur_r,psoas_r-P3,[-0.01190761124997559 -0.04229729579604455  0.00086793387153354]
25,femur_r,psoas_r-P4,[-0.02287828723558491 -0.04562139592474432  0.00710378586153468]
26,femur_r,sart_r-P2,[-0.02480536644454196 -0.33959900558364486 -0.02799714458640196]
27,femur_r,tfl_r-P2,[ 0.03265666637137067 -0.09838164851690649  0.03606116346901892]
28,femur_r,tfl_r-P3,[ 0.00975138000678896 -0.380832764841704    0.03092624582170128]
29,femur_r,vasint_r-P1,[ 0.02556472593428159 -0.185946885094891    0.01716358060670034]
30,femur_r,vasint_r-P2,[ 0.03099671788448327 -0.20182261666263757  0.01240002802088824]
31,femur_r,vaslat_r-P1,[-0.0011228272115623  -0.17477150646536208  0.02914347059054191]
32,femur_r,vaslat_r-P2,[ 0.02674220956987636 -0.2465606440939656   0.02557589966326084]
33,femur_r,vasmed_r-P1,[ 0.01213001933785494 -0.20081874910523562  0.00456809840763354]
34,femur_r,vasmed_r-P2,[ 0.02849054688378563 -0.26796674647277496 -0.00795549302795564]
