name,body,location
torso_origin_in_pelvis,pelvis,[-0.07735897346105824  0.04990968475840198  0.00053244493087454]
ASIS_l,pelvis,[-0.00000000000000001 -0.00000000000000003 -0.11075703278350213]
ASIS_r,pelvis,[0.                  0.00000000000000002 0.11075703278350213]
PSIS_l,pelvis,[-0.1209528423333483   0.02052125552908898 -0.05092263278314262]
PSIS_r,pelvis,[-0.12130948653183282  0.02538401463740265  0.05264141647768917]
pub_infer_c,pelvis,[-0.02499178289972469 -0.11523963092351112  0.00284342932908278]
pub_super_c,pelvis,[-0.00000000000000003 -0.0932967947820207   0.00297397314122912]
ilium_l,pelvis,[-0.0659259787979519   0.05577330015262952 -0.09608429183312003]
ilium_r,pelvis,[-0.06919579294037795  0.06366178280362966  0.08527502436023207]
femur_l_center_in_pelvis,pelvis,[-0.04240189641102073 -0.07804254933376373 -0.0781091025443025 ]
femur_r_center_in_pelvis,pelvis,[-0.04792239798133589 -0.0764440512197334   0.08509635472652054]
sacroiliac_l,pelvis,[-0.10482352235294912  0.01086690234716907 -0.04525866591856689]
sacroiliac_r,pelvis,[-0.10542882012922561  0.01495178039387996  0.04777797707601463]
5th_sacr_v,pelvis,[-0.11567726539948299 -0.04738439146100173  0.00250774269469127]
AIIS_l,pelvis,[-0.01687774012340709 -0.03697357390318357 -0.08636255094585722]
AIIS_r,pelvis,[-0.01952740864007019 -0.03644845225758074  0.09071515691684633]
isch_infer_l,pelvis,[-0.06180325084108728 -0.13345653947993782 -0.0348540830729484 ]
isch_infer_r,pelvis,[-0.06485224741996518 -0.13246900971141454  0.04140702546724353]
isch_spine_l,pelvis,[-0.0931555826756905  -0.06134396341030201 -0.05580564287849882]
isch_spine_r,pelvis,[-0.09662394797846201 -0.05856456407375874  0.06133035501652562]
isch_tuber_l,pelvis,[-0.097330835501855   -0.09500205832523094 -0.04975149171495429]
isch_tuber_r,pelvis,[-0.10093757356315573 -0.09279976303854236  0.05570434693595174]
femur_l_center,femur_l,[0. 0. 0.]
knee_l_lat,femur_l,[ 0.00000000000000002 -0.3870855518252747  -0.03669401483082037]
knee_l_med,femur_l,[ 0.                  -0.38828561785552     0.03669401483082015]
gr_troch_as_l,femur_l,[ 0.00118467690171443 -0.01106799639955048 -0.04613837670720161]
gr_troch_lat_l,femur_l,[-0.01854841317341476 -0.0182013633794036  -0.05810650582892151]
gr_troch_ps_l,femur_l,[-0.02960650280552587  0.00700444894738544 -0.03822113629573765]
ls_troch_l,femur_l,[-0.02562532129111815 -0.04904173017672861 -0.00736145089887679]
knee_l_center_in_femur_l,femur_l,[-0.00000290856079676 -0.3877017931761645   0.00128970220316093]
