,body,name,location
0,pelvis,torso_origin_in_pelvis,[-0.07735897346105824  0.04990968475840198  0.00053244493087454]
1,pelvis,ASIS_l,[-0.00000000000000001 -0.00000000000000003 -0.11075703278350213]
2,pelvis,ASIS_r,[0.                  0.00000000000000002 0.11075703278350213]
3,pelvis,PSIS_l,[-0.1209528423333483   0.02052125552908898 -0.05092263278314262]
4,pelvis,PSIS_r,[-0.12130948653183282  0.02538401463740265  0.05264141647768917]
5,pelvis,pub_infer_c,[-0.02499178289972469 -0.11523963092351112  0.00284342932908278]
6,pelvis,pub_super_c,[-0.00000000000000003 -0.0932967947820207   0.00297397314122912]
7,pelvis,ilium_l,[-0.0659259787979519   0.05577330015262952 -0.09608429183312003]
8,pelvis,ilium_r,[-0.06919579294037795  0.06366178280362966  0.08527502436023207]
9,pelvis,femur_l_center_in_pelvis,[-0.04240189641102073 -0.07804254933376373 -0.0781091025443025 ]
10,pelvis,femur_r_center_in_pelvis,[-0.04792239798133589 -0.0764440512197334   0.08509635472652054]
11,pelvis,sacroiliac_l,[-0.10482352235294912  0.01086690234716907 -0.04525866591856689]
12,pelvis,sacroiliac_r,[-0.10542882012922561  0.01495178039387996  0.04777797707601463]
13,pelvis,5th_sacr_v,[-0.11567726539948299 -0.04738439146100173  0.00250774269469127]
14,pelvis,AIIS_l,[-0.01687774012340709 -0.03697357390318357 -0.08636255094585722]
15,pelvis,AIIS_r,[-0.01952740864007019 -0.03644845225758074  0.09071515691684633]
16,pelvis,isch_infer_l,[-0.06180325084108728 -0.13345653947993782 -0.0348540830729484 ]
17,pelvis,isch_infer_r,[-0.06485224741996518 -0.13246900971141454  0.04140702546724353]
18,pelvis,isch_spine_l,[-0.0931555826756905  -0.06134396341030201 -0.05580564287849882]
19,pelvis,isch_spine_r,[-0.09662394797846201 -0.05856456407375874  0.06133035501652562]
20,pelvis,isch_tuber_l,[-0.097330835501855   -0.09500205832523094 -0.04975149171495429]
21,pelvis,isch_tuber_r,[-0.10093757356315573 -0.09279976303854236  0.05570434693595174]
