,body,name,location
0,pelvis,addbrev_r-P1,[-0.01582364693464683 -0.10008716799588585  0.0279398699362985 ]
1,pelvis,addlong_r-P1,[-0.0049940959792098  -0.09583219859719419  0.03529814966308385]
2,pelvis,addmagDist_r-P1,[-0.06549560487954838 -0.12501228626402824  0.04617351744196051]
3,pelvis,addmagIsch_r-P1,[-0.08155391738507857 -0.12601445538897957  0.0497176014305925 ]
4,pelvis,addmagMid_r-P1,[-0.0444367524877279  -0.12034386889336236  0.03503337165826093]
5,pelvis,addmagProx_r-P1,[-0.0262261339832182  -0.1118116154704626   0.02217755985899839]
6,pelvis,bflh_r-P1,[-0.10097078839363556 -0.1170406052001299   0.0700949924407331 ]
7,pelvis,glmax1_r-P1,[-0.1016905704684946   0.03304843802185755  0.05977493780592972]
8,pelvis,glmax1_r-P2,[-0.10882276702341082 -0.01443159298697794  0.084549332062441  ]
9,pelvis,glmax2_r-P1,[-0.11446719036091078  0.01270295561953434  0.05141676732235346]
10,pelvis,glmax2_r-P2,[-0.11905238012455145 -0.04740493524104949  0.09009669455811369]
11,pelvis,glmax3_r-P1,[-0.142944025068962   -0.04547945255676497  0.01210380422339205]
12,pelvis,glmax3_r-P2,[-0.11314246055812383 -0.11571294181553719  0.05367988629436832]
13,pelvis,glmed1_r-P1,[-0.03891568665550278  0.02402864436481897  0.11028884682415514]
14,pelvis,glmed2_r-P1,[-0.07097578998564642  0.04621589631276663  0.08040771107118659]
15,pelvis,glmed3_r-P1,[-0.08051861182578127  0.01581152440392673  0.06728939831064469]
16,pelvis,glmin1_r-P1,[-0.0187076932044621   0.00105683614131495  0.11411148860956925]
17,pelvis,glmin2_r-P1,[-0.04587089520336454  0.01070907448754953  0.10011558406082095]
18,pelvis,glmin3_r-P1,[-0.06286774830830454 -0.01180073812370593  0.08235891265169024]
19,pelvis,grac_r-P1,[-0.03957389751830579 -0.12902671730185375  0.03201131170629808]
20,pelvis,iliacus_r-P1,[-0.04637123385754507  0.02598318290533568  0.08332304743436017]
21,pelvis,iliacus_r-P2,[-0.01024700473523808 -0.05751387447751756  0.08798305349622569]
22,pelvis,piri_r-P1,[-0.1069316398836372  -0.00846808779943332  0.01523277133610519]
23,pelvis,piri_r-P2,[-0.09030779319425337 -0.02459158055901381  0.06628329918545127]
24,pelvis,psoas_r-P1,[-0.05008121694126907  0.04549227875513646  0.03799943141966859]
25,pelvis,psoas_r-P2,[-0.01823076863160554 -0.06767917377132712  0.06617201649857525]
26,pelvis,recfem_r-P1,[-0.02111841516573394 -0.03874748193314054  0.0911814111407851 ]
27,pelvis,sart_r-P1,[-0.00669100668821621 -0.01435800647764051  0.10562556990298687]
28,pelvis,semimem_r-P1,[-0.09555106043772083 -0.11194396860882287  0.07230590308571573]
29,pelvis,semiten_r-P1,[-0.09877526965745903 -0.1221970067415637   0.06237033382955914]
30,pelvis,tfl_r-P1,[-0.01650150222680736  0.00992438989701213  0.1203444166788255 ]
31,pelvis,addbrev_l-P1,[-0.01458634616716998 -0.09990013926681415 -0.02153521785873185]
32,pelvis,addlong_l-P1,[-0.00342353543821067 -0.09547958694726245 -0.02893626999791971]
33,pelvis,addmagDist_l-P1,[-0.06283978907380869 -0.1256821624001838  -0.03920228226166796]
34,pelvis,addmagIsch_l-P1,[-0.0778119309419266  -0.12694465588784262 -0.04383206694496925]
35,pelvis,addmagMid_l-P1,[-0.04279031217595184 -0.12091673828481575 -0.02762326074493564]
36,pelvis,addmagProx_l-P1,[-0.02530079664313941 -0.11184841081981686 -0.01534565089559357]
37,pelvis,bflh_l-P1,[-0.09443874233857205 -0.1179710687135396  -0.06786707706126953]
38,pelvis,glmax1_l-P1,[-0.09999125574107282  0.02933953465414594 -0.05927562944184441]
39,pelvis,glmax1_l-P2,[-0.1049125744721897  -0.01861698847726724 -0.0810015750945529 ]
40,pelvis,glmax2_l-P1,[-0.1126921939789317   0.00949962361420837 -0.04967749256159158]
41,pelvis,glmax2_l-P2,[-0.11440053835344334 -0.05132158920164816 -0.08562412711820057]
42,pelvis,glmax3_l-P1,[-0.13939232133469523 -0.04712272052089971 -0.01093618168532185]
43,pelvis,glmax3_l-P2,[-0.10850991836727666 -0.1168876949832338  -0.04728389629956514]
44,pelvis,glmed1_l-P1,[-0.03665588043971917  0.01957251791087789 -0.11009147231320783]
45,pelvis,glmed2_l-P1,[-0.068949872394176    0.04172606075169861 -0.08300798119259686]
46,pelvis,glmed3_l-P1,[-0.0784746626032317   0.01262329268261959 -0.06517710072834544]
47,pelvis,glmin1_l-P1,[-0.01682086409715593 -0.00175078098194323 -0.11052007677835825]
48,pelvis,glmin2_l-P1,[-0.04337088223843118  0.00687695986370383 -0.09710624290870624]
49,pelvis,glmin3_l-P1,[-0.05995417944467361 -0.01493487370265264 -0.07780077510839659]
50,pelvis,grac_l-P1,[-0.03819437949681442 -0.1295849461139773  -0.02402676467276198]
51,pelvis,iliacus_l-P1,[-0.04408434731346894  0.0222386597986419  -0.08230203316297902]
52,pelvis,iliacus_l-P2,[-0.00672827589934534 -0.05820349156633792 -0.08034349349260408]
53,pelvis,piri_l-P1,[-0.10557899127469725 -0.00943079052968963 -0.01446392211282162]
54,pelvis,piri_l-P2,[-0.08674996532887999 -0.02752749248742494 -0.06227996882051497]
55,pelvis,psoas_l-P1,[-0.04850383498749335  0.04335944017528157 -0.03986842710371932]
56,pelvis,psoas_l-P2,[-0.01190456495371726 -0.0679532550323276  -0.0576323397521467 ]
57,pelvis,recfem_l-P1,[-0.01833506366241403 -0.03996669552574113 -0.08807702066315824]
58,pelvis,sart_l-P1,[-0.00429534014923176 -0.01621457008521803 -0.0994489947450667 ]
59,pelvis,semimem_l-P1,[-0.08951508226049759 -0.1130351552804894  -0.06984467013582313]
60,pelvis,semiten_l-P1,[-0.0929265393046772  -0.12305056255199838 -0.05884502293903295]
61,pelvis,tfl_l-P1,[-0.01453718763286574  0.00680122625475925 -0.12028884136694058]
