,body,name,location
0,pelvis,Gmax1_at_pelvis_r,[-0.07095529293095168 -0.09023986485995836  0.06852199792960005]
1,pelvis,Gmax2_at_pelvis_r,[-0.07116851031280816 -0.0722028829247243   0.0752512765594213 ]
2,pelvis,Gmax3_at_pelvis_r,[-0.07475517285354022 -0.07723814003705412  0.07589561305583434]
3,pelvis,Gmax1_at_pelvis_l,[-0.06804329219391148 -0.09047279161439722 -0.06381151614890308]
4,pelvis,Gmax2_at_pelvis_l,[-0.06879056037782928 -0.07280521430438625 -0.06982438181464892]
5,pelvis,Gmax3_at_pelvis_l,[-0.07220318532867101 -0.07779063741119845 -0.07079286278193762]
6,pelvis,PS_at_brim_r,[-0.0640204998437392  -0.04966487640002239  0.07016464194733868]
7,pelvis,PS_at_brim_l,[-0.06185835226273324 -0.05045707662821347 -0.06419796272274769]
8,pelvis,IL_at_brim_r,[-0.06122207960216108 -0.05423166339083032  0.08047410569245866]
9,pelvis,IL_at_brim_l,[-0.05914110392676318 -0.05502957682167801 -0.07475969632777818]
