name,body,location
RASI,pelvis,[ 0.00977119415203367 -0.00331599212180111  0.10929910029199533]
RPSI,pelvis,[-0.1517924321555022   0.03671205692881726  0.04452010238911145]
LPSI,pelvis,[-0.15126462289215795  0.03463826612085018 -0.04019704830356382]
LASI,pelvis,[ 0.0163695359956212   0.00466144954761274 -0.11971464934318436]
PE01,pelvis,[-0.14082654855244545  0.05884986644144607  0.00134529965366064]
PE02,pelvis,[-0.16020466406322578  0.02046049724598705  0.03282318553193581]
PE03,pelvis,[-0.1597533028983721   0.0190799659755314  -0.02725572984649549]
LTH1,femur_l,[ 0.02676514725220392 -0.20405385418302385 -0.03675849963891356]
LTH2,femur_l,[ 0.01251368381281586 -0.2802290038137466  -0.04139866162101034]
LTH3,femur_l,[ 0.05545217435991937 -0.24948745736513092 -0.01688203254339684]
LGT,femur_l,[-0.0153528661436934  -0.01055153794117825 -0.08583270837674066]
LKNE,femur_l,[ 0.0000932740634556  -0.3864602141845966  -0.04848296953666296]
LMKNE,femur_l,[-0.00012093210196652 -0.3881366243141612   0.04915602902350445]
RTH1,femur_r,[ 0.02282071268179031 -0.19269703092413876  0.05576998470481255]
RTH2,femur_r,[ 0.02191023063032203 -0.26747106756112193  0.0535915607835329 ]
RTH3,femur_r,[ 0.05306298168754517 -0.23528428575782312  0.04106614902768481]
RGT,femur_r,[-0.01266893633581896 -0.00551389942574096  0.085792063408372  ]
RKNE,femur_r,[ 0.00016214471307172 -0.3762680728954602   0.04942539986184035]
RMKNE,femur_r,[-0.00018173525712167 -0.38417434170718434 -0.05009503065858661]
LTB1,tibia_l,[-0.01177044586054641 -0.12809556262000726 -0.07932790395876704]
LTB2,tibia_l,[ 0.02595013947435767 -0.17211243606848578 -0.0746347229717138 ]
LTB3,tibia_l,[-0.00883145267629045 -0.22930170619979678 -0.07423399758369174]
LANK,tibia_l,[ 0.00217465499500712 -0.3675457309689691  -0.06177202103692952]
LMMA,tibia_l,[ 0.01398172464814536 -0.3624572606559535   0.04583511138664199]
RTB1,tibia_r,[-0.00252806934433622 -0.12721470288658096  0.06442644407127424]
RTB2,tibia_r,[-0.03297835373346652 -0.1701713233809924   0.06129639611843778]
RTB3,tibia_r,[ 0.00865161355244838 -0.2166215262537253   0.06234898472942067]
RANK,tibia_r,[ 0.00278293741850204 -0.36623882035981387  0.0582944561099835 ]
RMMA,tibia_r,[ 0.01267554251391802 -0.36222844844935914 -0.04414687969259876]
