,body,name,location
0,tibia_l,knee_l_center,[0. 0. 0.]
1,tibia_l,fibula_l_lat_malleol_tip,[-0.00903839990140086 -0.389470171017672   -0.0260328161374647 ]
2,tibia_l,tibia_l_med_malleol_tip,[ 0.01171154689772425 -0.37665641673940387  0.02235500677877283]
3,tibia_l,ankle_l_lat,[-0.00699827134447887 -0.369054200757497   -0.0448545312321932 ]
4,tibia_l,ankle_l_med,[ 0.00935182901803062 -0.36305590641726926  0.03655348947733593]
5,tibia_l,ankle_l_center,[ 0.0012833836987831  -0.3661032497908329  -0.00426739835382747]
6,tibia_l,talus_l_center_in_tibia,[-0.0001170362387405  -0.3830496965663792   0.00003901495549168]
7,tibia_l,tibia_l_center,[ 0.                  -0.03078131398393529  0.                 ]
8,tibia_l,tibia_l_lat,[-0.00023837648691565 -0.03139066323055718 -0.04065005840077567]
9,tibia_l,tibia_l_med,[-0.00022957772190245 -0.03052790103301672  0.04138261655982434]
10,tibia_l,tibia_l_epiph_yellow_anterior_plate,[ 0.01849334918072659 -0.02305278439118769  0.00021060631760622]
11,tibia_l,tibia_l_epiph_yellow_patel_tend_point,[ 0.02655919081336935 -0.05587487168456988  0.00280222701387687]
12,tibia_l,tibia_l_epiph_yellow_posteriormost,[-0.02309972625562341 -0.03369283808175533  0.00027001748685358]
13,tibia_l,tibia_l_ankle_yellow_anter,[ 0.01878341243284928 -0.35435461682142694  0.00259375596754104]
14,tibia_l,tibia_l_epiph_green_medial_lower_epiph,[-0.00059564856193195 -0.05261463622875649  0.02244666392526713]
15,tibia_l,fibula_l_as,[-0.00336629579950922 -0.0575520687786898  -0.02052366740418317]
16,tibia_l,tibia_l_midshaft_anter,[ 0.02019970950859308 -0.1915088127567679  -0.00698579695220685]
17,tibia_l,tibia_l_midshaft_poster,[-0.00322157188418416 -0.19149285125044826  0.00630673897801858]
18,tibia_l,fibula_l_midshaft_anter,[-0.01363733773904613 -0.19250411692604885 -0.02548891582700852]
19,tibia_l,tibia_l_anter_diaph_25,[ 0.0239638789433954  -0.09273985183575603 -0.00968084480310165]
20,tibia_l,tibia_l_anter_diaph_75,[ 0.01726548380164572 -0.2875690428602278  -0.00422579900300054]
21,tibia_l,fibula_l_anter_diaph_75,[-0.00787882574346454 -0.2882432962121356  -0.02199351360128824]
