,body,name,location
0,tibia_l,bflh_l-P2,[-0.02827205260975469 -0.03376697295621441 -0.02569112957831015]
1,tibia_l,bflh_l-P3,[-0.02375509145081765 -0.0434004363197219  -0.03185361230729937]
2,tibia_l,bfsh_l-P2,[-0.02490742475269063 -0.04019213105229733 -0.03345969186921912]
3,tibia_l,edl_l-P1,[-0.01352492534890455 -0.10917493408967437 -0.01530813300082948]
4,tibia_l,edl_l-P2,[ 0.02095543144927195 -0.360331097596699   -0.01485738189994921]
5,tibia_l,ehl_l-P1,[-0.01268649899933284 -0.14791429893166275 -0.0135459284262073 ]
6,tibia_l,ehl_l-P2,[ 0.00707628808966614 -0.27914428628708116 -0.01423842754519336]
7,tibia_l,ehl_l-P3,[ 0.02427880145067848 -0.35388359967740346  0.00000145965944346]
8,tibia_l,fdl_l-P1,[-0.00258462850212381 -0.1749088877741015   0.00946174250599543]
9,tibia_l,fdl_l-P2,[-0.00700996303249736 -0.34893331891512913  0.02054318159520032]
10,tibia_l,fhl_l-P1,[-0.02879216457221389 -0.2083783038927894  -0.01630185020871631]
11,tibia_l,fhl_l-P2,[-0.01244173257457841 -0.3515564296695796   0.0161379257448729 ]
12,tibia_l,grac_l-P2,[-0.01735145000022968 -0.0425791452302602   0.03389547831582641]
13,tibia_l,grac_l-P3,[ 0.00351066990456171 -0.06248704981111056  0.02201950542739065]
14,tibia_l,perbrev_l-P1,[-0.02227117260466648 -0.24394236095673716 -0.0230723308525983 ]
15,tibia_l,perbrev_l-P2,[-0.01985130164894908 -0.3737017910009114  -0.02107455974448897]
16,tibia_l,perbrev_l-P3,[-0.01594001805334561 -0.3840401631294935  -0.02560093649670542]
17,tibia_l,perlong_l-P1,[-0.01766555586740638 -0.13089676882653087 -0.0244208923687123 ]
18,tibia_l,perlong_l-P2,[-0.01828299482639708 -0.373637124005768   -0.01922769473750769]
19,tibia_l,perlong_l-P3,[-0.01494087070062567 -0.3848618409160979  -0.02431720896567832]
20,tibia_l,recfem_l-P5,[ 0.03149072265058007 -0.05637388334994477 -0.00829837690715177]
21,tibia_l,sart_l-P3,[-0.02200599799342589 -0.03638689473242292  0.03632790618932391]
22,tibia_l,sart_l-P4,[-0.0171651563112638  -0.05376973016588781  0.03411461909897735]
23,tibia_l,sart_l-P5,[ 0.01491260687414526 -0.07353329144546163  0.00734797125802958]
24,tibia_l,semimem_l-P2,[-0.02642447511508283 -0.03807182467565658  0.02204986580460169]
25,tibia_l,semiten_l-P2,[-0.02992640232979882 -0.04640597269483456  0.02596249371095183]
26,tibia_l,semiten_l-P3,[ 0.00349114034052659 -0.06994181679494378  0.01861913300425654]
27,tibia_l,soleus_l-P1,[-0.00539905289582302 -0.08481021560065767 -0.00369060360426308]
28,tibia_l,tfl_l-P4,[ 0.01120261447174173 -0.03787666610435096 -0.03783411259677909]
29,tibia_l,tibant_l-P1,[ 0.01516140232860018 -0.12385146293944052 -0.0126036805098746 ]
30,tibia_l,tibant_l-P2,[ 0.02262885382095318 -0.18233741629958905 -0.00895510133687311]
31,tibia_l,tibant_l-P3,[ 0.02561787619265249 -0.3508831111370421   0.00442293005740375]
32,tibia_l,tibpost_l-P1,[-0.00290088064392539 -0.12304052588314701 -0.00325588239285566]
33,tibia_l,tibpost_l-P2,[-0.00584858308294551 -0.34974537836944514  0.02610494821823693]
34,tibia_l,vasint_l-P5,[ 0.03146112622394803 -0.05640372078486652 -0.00892385905864102]
35,tibia_l,vaslat_l-P5,[ 0.0293231000429619  -0.05665793931331601 -0.01487907584001056]
36,tibia_l,vasmed_l-P5,[ 0.03183045589532722 -0.05711118149769646 -0.00493340036373006]
