,body,name,location
0,tibia_r,knee_r_center,[0. 0. 0.]
1,tibia_r,fibula_r_lat_malleol_tip,[-0.00841857089281763 -0.3929605487378907   0.02501273019305214]
2,tibia_r,tibia_r_med_malleol_tip,[ 0.01122498474022702 -0.3800692419275394  -0.02149587245283367]
3,tibia_r,ankle_r_lat,[-0.00624808028977662 -0.3716188536602574   0.04266699138874271]
4,tibia_r,ankle_r_med,[ 0.008480454347569  -0.3662797127053718 -0.0350293622092276]
5,tibia_r,ankle_r_center,[ 0.00113667851789763 -0.369122996504081    0.00394564054659658]
6,tibia_r,talus_r_center_in_tibia,[-0.00006104068574524 -0.3865835415968471   0.00002034767127585]
7,tibia_r,tibia_r_center,[ 0.                  -0.03120753594506721  0.                 ]
8,tibia_r,tibia_r_lat,[-0.00011982034631019 -0.03130104893641689  0.03922906051857494]
9,tibia_r,tibia_r_med,[-0.00012438906003798 -0.03093840990723118 -0.03947653084049744]
10,tibia_r,tibia_r_epiph_yellow_anterior_plate,[ 0.01846975443896678 -0.02262623433643864 -0.00052733278177385]
11,tibia_r,tibia_r_epiph_yellow_patel_tend_point,[ 0.02693934517177651 -0.0545973350172639  -0.00335091317026618]
12,tibia_r,tibia_r_epiph_yellow_posteriormost,[-0.02330798495340069 -0.03500673235130933  0.0002345018831277 ]
13,tibia_r,tibia_r_ankle_yellow_anter,[ 0.01804966964447832 -0.35684633461387694 -0.00028889051795078]
14,tibia_r,tibia_r_epiph_green_medial_lower_epiph,[-0.00029530025209225 -0.05291125812685454 -0.02142933655831938]
15,tibia_r,fibula_r_as,[-0.00285973957344796 -0.05828947310682864  0.01881098279826524]
16,tibia_r,tibia_r_midshaft_anter,[ 0.020122462652377   -0.18324818546977523  0.00587918853783452]
17,tibia_r,tibia_r_midshaft_poster,[-0.00377337430073433 -0.1839695225327408  -0.00594863106794503]
18,tibia_r,fibula_r_midshaft_anter,[-0.01367903341203088 -0.18497833206426606  0.02330194278967372]
19,tibia_r,tibia_r_anter_diaph_25,[ 0.02443317504211174 -0.0897836485686112   0.00858723928674031]
20,tibia_r,tibia_r_anter_diaph_75,[ 0.01642020181228369 -0.28645007215750434  0.0024484953094351 ]
21,tibia_r,fibula_r_anter_diaph_75,[-0.00980290451251491 -0.2875521191899959   0.01999849246361664]
