,body,name,location
0,tibia_r,bflh_r-P2,[-0.02869147329059268 -0.03483739821253738  0.02470577089379091]
1,tibia_r,bflh_r-P3,[-0.0239669933394989  -0.04408641544562326  0.03083778869732482]
2,tibia_r,bfsh_r-P2,[-0.02517771085846745 -0.04094190002249732  0.03230611456656713]
3,tibia_r,edl_r-P1,[-0.01360863483380032 -0.10631885534162     0.01749452199441448]
4,tibia_r,edl_r-P2,[ 0.0206902570662985  -0.36261622788217507  0.01207290624298784]
5,tibia_r,ehl_r-P1,[-0.01279361392834663 -0.14208791404328402  0.01491479752773184]
6,tibia_r,ehl_r-P2,[ 0.00641362729073229 -0.2774352485151985   0.01193390252576722]
7,tibia_r,ehl_r-P3,[ 0.02343636997760846 -0.3560449325147607  -0.00012316847552998]
8,tibia_r,fdl_r-P1,[-0.00285043239993338 -0.1676124637199864  -0.00859308438616586]
9,tibia_r,fdl_r-P2,[-0.00804476042432309 -0.3519917672116654  -0.01836228786809632]
10,tibia_r,fhl_r-P1,[-0.02895597882266267 -0.2022140473155445   0.01665147403768224]
11,tibia_r,fhl_r-P2,[-0.0134946197100335  -0.35475966659508884 -0.01414696479441223]
12,tibia_r,grac_r-P2,[-0.01501567726877589 -0.04357968976846865 -0.02846631781830914]
13,tibia_r,grac_r-P3,[ 0.00343751889499971 -0.06215030828641565 -0.02214433233027582]
14,tibia_r,perbrev_r-P1,[-0.02235852401417667 -0.23971357552002906  0.02226700888391691]
15,tibia_r,perbrev_r-P2,[-0.02047013359714195 -0.3771736258545192   0.02112699339261466]
16,tibia_r,perbrev_r-P3,[-0.01653363214376528 -0.3875687209699375   0.02457725283710547]
17,tibia_r,perlong_r-P1,[-0.01766007571660142 -0.1264735065567236   0.02602130480994087]
18,tibia_r,perlong_r-P2,[-0.0208994508954767  -0.37704807270508667  0.01740242117340664]
19,tibia_r,perlong_r-P3,[-0.01566820331616686 -0.38840697290648185  0.02311146331594801]
20,tibia_r,recfem_r-P5,[ 0.03289164374691667 -0.05451494063077649  0.0092512727897887 ]
21,tibia_r,sart_r-P3,[-0.01885765164850145 -0.0374619277007497  -0.03219572390039465]
22,tibia_r,sart_r-P4,[-0.0153530114456715  -0.05460783953718905 -0.02715941460457388]
23,tibia_r,sart_r-P5,[ 0.0147617704135933  -0.07212215842025096 -0.00940062025812064]
24,tibia_r,semimem_r-P2,[-0.02445157191691852 -0.03945240805047948 -0.01803947163861916]
25,tibia_r,semiten_r-P2,[-0.02754648231138122 -0.04773655112484198 -0.02028074813240684]
26,tibia_r,semiten_r-P3,[ 0.00330590164982116 -0.06923933707337203 -0.01861837330313092]
27,tibia_r,soleus_r-P1,[-0.00543632300113241 -0.0835925700902598   0.0054314617170429 ]
28,tibia_r,tfl_r-P4,[ 0.01182057770251343 -0.03760800534440713  0.03650443354108029]
29,tibia_r,tibant_r-P1,[ 0.01521629768565277 -0.11879547424478683  0.01267549508560335]
30,tibia_r,tibant_r-P2,[ 0.0226092681644663  -0.17404012947880054  0.00778493585636635]
31,tibia_r,tibant_r-P3,[ 0.02446639577202269 -0.3526691299598679  -0.00501466531975226]
32,tibia_r,tibpost_r-P1,[-0.00311084628343959 -0.11874366264257222  0.00505203134631805]
33,tibia_r,tibpost_r-P2,[-0.00689809535948444 -0.35285569877225564 -0.02365599373810257]
34,tibia_r,vasint_r-P5,[ 0.03313290391423469 -0.05451751761442034  0.00922134308780636]
35,tibia_r,vaslat_r-P5,[ 0.03185429764528493 -0.05554003371528324  0.01360951437557409]
36,tibia_r,vasmed_r-P5,[ 0.03154689988305161 -0.05509389766306023  0.00004452408622515]
