name,r,a,s
femur_l_center,-74.79986318959162,-34.5933842452203,690.9096594887271
knee_l_lat,-108.07076334806916,-21.74785085554616,303.92883485559406
knee_l_med,-34.74956402152529,-22.36218788086612,302.9053428627219
gr_troch_as_l,-120.96502420963519,-32.654090639900986,679.7768157697589
gr_troch_lat_l,-130.96697487815103,-51.871408804744085,671.9776591176767
gr_troch_ps_l,-110.36413479384541,-63.79928445263794,696.8585824171843
ls_troch_l,-79.4703235655015,-58.420146530023615,641.042930791618
knee_l_center_in_femur_l,-70.12252340019303,-22.072509090412748,303.40379678839884
femur_l_midshaft_anter,-88.90257828200377,-1.6512867476635513,495.3927509863295
femur_l_midshaft_poster,-88.69232666463535,-22.499892333056028,498.0473391190302
femur_l_anter_diaph_25,-102.90257542822737,-17.76009572437611,592.0119153696478
femur_l_poster_diaph_25,-103.88527299258621,-43.74002786748386,596.4014055398678
femur_l_anter_diaph_75,-79.67398763209601,3.872953584646959,399.140907157356
femur_l_poster_diaph_75,-79.48523114309879,-18.52961137116807,402.125212867882
patella_l_in_femur_l,-71.26273775457295,20.042305058718643,283.0203019403741
