name,r,a,s
addbrev_l-P2,-85.54820314828034,-30.704923182800016,576.8290637252833
addlong_l-P2,-76.08986784235601,-17.47253263335637,459.7781447821797
addmagDist_l-P2,-80.80689302632246,-17.120740711611166,437.8506192666437
addmagIsch_l-P2,-38.81194687617837,-18.63885756323893,318.06795080774873
addmagMid_l-P2,-87.70684242615582,-25.708538470575487,534.1044908136471
addmagProx_l-P2,-97.58702501361452,-44.55290604813051,616.7697242216534
bfsh_l-P1,-82.57030563155561,-23.333577875854356,487.5350084197767
gaslat_l-P1,-98.21480210013587,-25.737014472590623,326.3338453996556
gasmed_l-P1,-49.73150835672429,-16.051146175980076,326.5741130276121
glmax1_l-P3,-105.30608876267823,-74.42155380737822,666.7635154384349
glmax1_l-P4,-116.30863003875764,-56.71348409219199,641.042521450114
glmax2_l-P3,-97.84000212225689,-74.41156650300339,641.1381592326375
glmax2_l-P4,-104.56737337139722,-43.16431665184323,594.7941522951047
glmax3_l-P3,-75.0758394093842,-56.761320487671476,585.3432660783621
glmax3_l-P4,-100.40405368787357,-33.27555226026229,554.9180067879583
glmed1_l-P2,-130.24007853392973,-44.547961531522425,677.6384413954088
glmed2_l-P2,-129.21731749620787,-52.49318484226737,686.6348629062718
glmed3_l-P2,-126.84220309377065,-61.23342336610543,693.0592696442288
glmin1_l-P2,-125.15693794971565,-27.769753701526437,677.7504662195103
glmin2_l-P2,-121.89814525949802,-28.066002913035515,683.4854053820324
glmin3_l-P2,-122.77570310743974,-35.923108844754104,692.5265907793809
iliacus_l-P3,-81.36229127052806,-34.351921774275596,636.4377784790568
iliacus_l-P4,-87.29630230551709,-43.201104806064514,630.9370655596389
piri_l-P3,-117.07080351768582,-46.40813515327052,691.3959386477746
psoas_l-P3,-75.19535163164873,-45.71924985638675,647.3593967646219
psoas_l-P4,-80.0329302759719,-55.193859681547224,643.4021551902142
sart_l-P2,-28.84418398475099,-27.907631286659157,348.7947541168112
tfl_l-P2,-116.56438991558875,0.14298566219959907,591.6550034238314
tfl_l-P3,-102.87385459830185,-11.634061426748623,301.7552098920223
vasint_l-P1,-86.88658701652949,-0.24180878175507914,502.4854961279164
vasint_l-P2,-84.56804367164278,3.989565309940189,486.7009774011414
vaslat_l-P1,-92.89488116801499,-23.124761941557527,512.1504076278776
vaslat_l-P2,-99.76135095557783,-1.551700435618975,439.51933712395726
vasmed_l-P1,-77.23144531684409,-14.959310405634994,487.4678352318539
vasmed_l-P2,-61.81101580095643,5.708355869532923,420.64417569789055
