name,r,a,s
addbrev_r-P2,102.74521942816145,-34.520877716925156,581.3077873170414
addlong_r-P2,90.05909474459372,-18.958381519050544,466.56559575212765
addmagDist_r-P2,94.24345503479992,-18.31725216929365,445.3773020428365
addmagIsch_r-P2,49.72927330504396,-14.714875255898733,326.448352755302
addmagMid_r-P2,103.31217118071055,-29.280514200593217,539.5330186656475
addmagProx_r-P2,113.57306352182674,-48.40737617804867,621.179927537823
bfsh_r-P1,96.31327473249301,-25.752478561114643,493.88749175724104
gaslat_r-P1,108.51021802298912,-26.08247359257402,337.12777680455196
gasmed_r-P1,61.351864446372474,-13.172820341576642,335.28390068549135
glmax1_r-P3,117.23691711981397,-77.12508013081809,671.2267938044138
glmax1_r-P4,130.44308956039225,-60.64977622298161,645.988316622197
glmax2_r-P3,109.11383512152238,-77.01642174585957,645.5180232892118
glmax2_r-P4,119.40591567228088,-47.38400717870343,599.7017637418911
glmax3_r-P3,87.55934424063332,-59.04951165973273,589.4217675441698
glmax3_r-P4,115.48310851733433,-37.483150711918576,560.3777205371692
glmed1_r-P2_0,147.38952798220564,-48.93534599628751,682.4302801738152
glmed2_r-P2_0,145.01547779673152,-56.631239695747254,691.6719542065185
glmed3_r-P2_0,141.28578718765044,-64.97336211529598,698.0253220012208
glmin1_r-P2,145.13748130366636,-33.58648671275991,682.2127435104695
glmin2_r-P2,142.4186157096622,-33.235792014367696,688.1885825663317
glmin3_r-P2,141.8576711613407,-39.99051790840424,696.8348850729324
iliacus_r-P3,100.4592382795216,-37.83779912660437,640.049850171441
iliacus_r-P4,104.4644816390355,-46.64260520426996,634.8511912441634
piri_r-P3,134.1806652886709,-50.297065312221314,695.9079828105213
psoas_r-P3,92.5387595677474,-48.49426471764834,650.715875138858
psoas_r-P4,95.51115919399015,-57.85168503226173,647.0199863440506
sart_r-P2,38.773976288036025,-23.459607215594918,356.07732610672906
tfl_r-P2,140.1183843321381,-6.206046777085236,597.0110777256704
tfl_r-P3,115.15272151864133,-12.597820266915729,313.37589283853015
vasint_r-P1,105.56836283957301,-3.9764527007741557,508.6146480069557
vasint_r-P2,103.36832987392114,0.6125709052956863,493.13654741098907
vaslat_r-P1,107.69456277107645,-26.678132719594824,518.2954480575669
vaslat_r-P2,116.11802943770675,-4.542420045433581,447.7752491274264
vasmed_r-P1,92.57840217555717,-17.342096092317284,493.6074144485743
vasmed_r-P2,79.412895767493,5.259277410559264,427.86188159791686
