name,r,a,s,body,group
addbrev_l-P2,-115.68659423025383,-51.57367295122822,577.3638678618299,femur_l,muscle
addlong_l-P2,-72.48086068744306,-15.669502767035738,459.3686701545066,femur_l,muscle
addmagDist_l-P2,-77.50130123640702,-15.249373752827523,437.7334457191864,femur_l,muscle
addmagIsch_l-P2,-40.36874332933803,-22.961990173498634,322.2129201116188,femur_l,muscle
addmagMid_l-P2,-108.9097837023146,-41.616725585612585,534.312175510302,femur_l,muscle
addmagProx_l-P2,-77.33780986928468,-23.177628163743066,617.3107912425548,femur_l,muscle
bfsh_l-P1,-80.71127600164618,-21.911840558284894,487.3749401988207,femur_l,muscle
gaslat_l-P1,-99.29856343439315,-20.309092129697092,329.12760657121794,femur_l,muscle
gasmed_l-P1,-50.462247626142926,-20.61069618194597,335.1526496315173,femur_l,muscle
glmax1_l-P3,-106.6206440251699,-75.64805351821997,665.3779708408838,femur_l,muscle
glmax1_l-P4,-101.764231526613,-43.633268362886156,640.9835651614267,femur_l,muscle
glmax2_l-P3,-96.00167837190384,-71.62275040583336,639.8794105023117,femur_l,muscle
glmax2_l-P4,-114.42860860818473,-53.02521657964098,594.7941493071266,femur_l,muscle
glmax3_l-P3,-106.5363214895624,-67.75365435345157,586.2361161574227,femur_l,muscle
glmax3_l-P4,-134.21550081581518,-62.22076564267627,555.0436960765801,femur_l,muscle
glmed1_l-P2,-130.85184953200223,-45.25540768148494,677.6961358277767,femur_l,muscle
glmed2_l-P2,-130.90716653801792,-54.10458203841699,686.7506996825687,femur_l,muscle
glmed3_l-P2,-127.9988273322524,-62.26591330583324,693.1732837529562,femur_l,muscle
glmin1_l-P2,-123.9275645235175,-26.931995565188117,677.7531988115079,femur_l,muscle
glmin2_l-P2,-122.09103984825197,-28.399145004630554,683.4937796235026,femur_l,muscle
glmin3_l-P2,-124.11859315630863,-37.429472732474096,692.644085683336,femur_l,muscle
iliacus_l-P3,-71.99333960696094,-23.393675234823604,637.4241496593313,femur_l,muscle
iliacus_l-P4,-75.46408243795304,-30.25043540124898,631.8514561681368,femur_l,muscle
piri_l-P3,-118.31417903165857,-47.64339055685559,691.5289742981549,femur_l,muscle
psoas_l-P3,-73.45629508656202,-43.95152959412371,647.6569717031671,femur_l,muscle
psoas_l-P4,-79.48638054721232,-54.953869226475945,643.5049869835202,femur_l,muscle
sart_l-P2,-46.41788335148158,-51.86381769157015,342.88782670643855,femur_l,muscle
tfl_l-P2,-107.62515293950855,5.29022694658488,591.425180691469,femur_l,muscle
tfl_l-P3,-102.1941137147951,-11.765138852410018,301.3955605759112,femur_l,muscle
vasint_l-P1,-88.45471325403196,-1.410977888503112,502.51210743466436,femur_l,muscle
vasint_l-P2,-83.01158548437525,5.162240740697598,486.7428005979127,femur_l,muscle
vaslat_l-P1,-100.36448769105482,-29.236193039250793,512.238302283542,femur_l,muscle
vaslat_l-P2,-94.9008191509929,3.265281365980627,440.47853195717107,femur_l,muscle
vasmed_l-P1,-75.43356036346813,-13.58658824552549,487.2369534046302,femur_l,muscle
vasmed_l-P2,-60.99011857135338,3.110312470176723,419.8041075214687,femur_l,muscle
addbrev_r-P2,131.15262978486135,-51.691769513287,582.6771412208691,femur_r,muscle
addlong_r-P2,90.33833523854264,-18.261472834739834,466.2040526579949,femur_r,muscle
addmagDist_r-P2,95.3770915530331,-17.73826709954301,445.11230700152737,femur_r,muscle
addmagIsch_r-P2,51.709399848696194,-16.75396555371117,329.136732150685,femur_r,muscle
addmagMid_r-P2,124.45248404660379,-42.468821327522164,540.2760798519375,femur_r,muscle
addmagProx_r-P2,96.08428876058315,-32.3323651838291,621.7974395262281,femur_r,muscle
bfsh_r-P1,97.70277164806612,-25.465748162096133,493.78567650942205,femur_r,muscle
gaslat_r-P1,111.82756617397536,-22.357740945881233,338.6027251468495,femur_r,muscle
gasmed_r-P1,62.747046016331296,-13.019828730553854,340.7556350472287,femur_r,muscle
glmax1_r-P3,120.27729055099189,-80.46872070097015,669.4561534246895,femur_r,muscle
glmax1_r-P4,119.02239026347524,-51.48903269259608,645.6579190324846,femur_r,muscle
glmax2_r-P3,110.51584612115403,-77.91228586743819,644.0025060282787,femur_r,muscle
glmax2_r-P4,130.80318315702607,-56.38488512678305,599.6435414178704,femur_r,muscle
glmax3_r-P3,122.63403324692626,-71.58987559455272,592.5512509934706,femur_r,muscle
glmax3_r-P4,149.41094832247472,-61.807816351618385,560.9151938071736,femur_r,muscle
glmed1_r-P2_0,148.062821391155,-49.65755940854433,682.4979517516476,femur_r,muscle
glmed2_r-P2_0,147.3663065348519,-58.21964657865465,691.8537764912762,femur_r,muscle
glmed3_r-P2_0,143.86186819709837,-66.36956097724033,698.2064156355045,femur_r,muscle
glmin1_r-P2,142.5329946776037,-32.78630550749949,682.1816339352954,femur_r,muscle
glmin2_r-P2,140.91784583817935,-33.20566167452489,688.2110132021189,femur_r,muscle
glmin3_r-P2,142.0263290500152,-40.79727245183312,697.0202407516917,femur_r,muscle
iliacus_r-P3,90.6484001763165,-28.297061846620636,641.0877556892228,femur_r,muscle
iliacus_r-P4,93.87437816910096,-36.137112394862925,635.8709094751102,femur_r,muscle
piri_r-P3,135.27770636201603,-51.07960012336844,696.0971010953654,femur_r,muscle
psoas_r-P3,90.64840985200135,-46.88554130533885,650.9775673845725,femur_r,muscle
psoas_r-P4,96.06743235795875,-58.09581121407973,647.0717682421237,femur_r,muscle
sart_r-P2,55.22375164888217,-45.29956790449796,354.10986997436885,femur_r,muscle
tfl_r-P2,127.66247649438446,-2.4297797025064938,595.9899596857722,femur_r,muscle
tfl_r-P3,115.52537843043683,-13.020208602771163,313.02320138701543,femur_r,muscle
vasint_r-P1,106.637065031362,-4.556063928030198,508.6486985180818,femur_r,muscle
vasint_r-P2,101.9423750883434,1.8441413454711437,493.1169863976502,femur_r,muscle
vaslat_r-P1,117.01113972160965,-32.426651789515745,518.4589610541661,femur_r,muscle
vaslat_r-P2,113.93281469930662,-1.3857240952784196,447.96177783704115,femur_r,muscle
vasmed_r-P1,92.88142629698268,-16.48704504102352,493.5244152295454,femur_r,muscle
vasmed_r-P2,80.18599352760066,3.4833895183401182,427.3929666985623,femur_r,muscle
recfem_l-P2,-71.52121655961673,22.90798939857632,334.52100046369515,patella_l,muscle
recfem_l-P3,-69.79238460799388,24.224844450713135,331.4329700654914,patella_l,muscle
recfem_l-P4,-71.86146757940878,23.597039571148343,282.1601420900083,patella_l,muscle
vasint_l-P3,-68.66242743452312,20.78247079072753,332.34432963248787,patella_l,muscle
vasint_l-P4,-71.46536585428112,23.627994175767526,282.18095062353586,patella_l,muscle
vaslat_l-P3,-91.78053665757761,21.327564100269228,318.73928202635716,patella_l,muscle
vaslat_l-P4,-79.80180357594509,22.898211420630105,281.7097432107025,patella_l,muscle
vasmed_l-P3,-51.3599865049182,21.19842302275356,327.4807087731797,patella_l,muscle
vasmed_l-P4,-64.36524739967717,24.405121149960905,282.0150926324691,patella_l,muscle
recfem_r-P2,85.06924970503314,24.65177836548537,340.44239542687046,patella_r,muscle
recfem_r-P3,86.01994202443166,33.62008629186312,330.59003192843375,patella_r,muscle
recfem_r-P4,86.06220624659909,23.530409044236876,294.15423111888185,patella_r,muscle
vasint_r-P3,83.69946054332831,22.586304088530596,339.984562218483,patella_r,muscle
vasint_r-P4,85.57604583288776,23.589266733149998,294.1474088491268,patella_r,muscle
vaslat_r-P3,107.27906308780075,24.807248058263212,329.69624793979165,patella_r,muscle
vaslat_r-P4,95.04922439713846,22.30891082098242,294.22087506628486,patella_r,muscle
vasmed_r-P3,66.95425521639118,24.617402502160985,333.4101363449272,patella_r,muscle
vasmed_r-P4,76.65566011401825,24.173575185006484,293.8835276934801,patella_r,muscle
addbrev_r-P1,32.73365094648034,-10.698395559826167,663.8251459597086,pelvis,muscle
addlong_r-P1,39.95403035363415,0.7654765848856186,666.2693177385081,pelvis,muscle
addmagDist_r-P1,51.614168093306944,-63.54917113496049,647.3523677636404,pelvis,muscle
addmagIsch_r-P1,55.34404213097878,-79.51339940403705,648.9850741777482,pelvis,muscle
addmagMid_r-P1,40.219662368836,-42.14369577875186,648.5112883644761,pelvis,muscle
addmagProx_r-P1,27.129147807412664,-22.938963784472435,653.944019662129,pelvis,muscle
bflh_r-P1,75.9110259989684,-96.96786090589012,661.0318114791589,pelvis,muscle
glmax1_r-P1,65.10000348626636,-73.34934330981923,809.2176067767723,pelvis,muscle
glmax1_r-P2,90.11193807329983,-87.82890160440002,763.5696308864572,pelvis,muscle
glmax2_r-P1,56.955546707176836,-89.3671116377227,791.2137570368359,pelvis,muscle
glmax2_r-P2,95.88511687968276,-103.22735170373926,732.7116067230527,pelvis,muscle
glmax3_r-P1,18.163118219556054,-127.40232423279667,738.3923418846098,pelvis,muscle
glmax3_r-P2,59.631133051094366,-108.9529802010511,664.3013686702034,pelvis,muscle
glmed1_r-P1,114.92619107553037,-12.292327514209319,790.1626973803504,pelvis,muscle
glmed2_r-P1,85.33801840164233,-40.65917253791122,817.2342468308343,pelvis,muscle
glmed3_r-P1,72.43046359322034,-55.18121590683586,788.7722248579375,pelvis,muscle
glmin1_r-P1,118.59515975305112,3.9470974890864454,764.2108321872656,pelvis,muscle
glmin2_r-P1,104.87713693268597,-21.44366763709695,778.1397764498543,pelvis,muscle
glmin3_r-P1,87.39006326536764,-42.088177951140096,758.6746664516104,pelvis,muscle
grac_r-P1,37.171407147383434,-38.7961731709438,639.1478331375401,pelvis,muscle
iliacus_r-P1,88.04060135991313,-19.64669102121843,793.2672335404204,pelvis,muscle
iliacus_r-P2,92.5673743072839,2.4453017649939284,705.0069006655103,pelvis,muscle
piri_r-P1,20.75887036792119,-85.80740686281933,769.0460262128909,pelvis,muscle
piri_r-P2,71.67037570092361,-71.43260630877921,750.5025792577944,pelvis,muscle
psoas_r-P1,42.69740367861232,-20.662116417021025,813.0551667145919,pelvis,muscle
psoas_r-P2,70.88256045547314,-7.3438923300855095,696.2470115235337,pelvis,muscle
recfem_r-P1,95.82669240201358,-5.185369376296876,725.2983828437864,pelvis,muscle
sart_r-P1,110.02445935655851,13.191422112082364,747.0319352183142,pelvis,muscle
semimem_r-P1,78.04314433905529,-90.76463072322076,665.180460442949,pelvis,muscle
semiten_r-P1,68.17910475181998,-95.73272529047972,655.5755340049072,pelvis,muscle
tfl_r-P1,124.77301516296575,7.6415706824627705,772.609352944768,pelvis,muscle
addbrev_l-P1,-16.75266031841602,-10.029463599465089,663.7372102624213,pelvis,muscle
addlong_l-P1,-24.29491872766812,1.6164798297249945,666.2693118953757,pelvis,muscle
addmagDist_l-P1,-33.783617281245824,-62.042844157978834,646.1364323927701,pelvis,muscle
addmagIsch_l-P1,-38.23852826116854,-77.07408488268993,647.3236133292376,pelvis,muscle
addmagMid_l-P1,-22.44939125849487,-41.35002873760095,647.5880661638512,pelvis,muscle
addmagProx_l-P1,-10.401831503790163,-22.473618509095104,653.7031999350438,pelvis,muscle
bflh_l-P1,-62.112567267004124,-92.298639341534,658.8518845943763,pelvis,muscle
glmax1_l-P1,-53.94917891045043,-73.67802640181617,805.1108641687024,pelvis,muscle
glmax1_l-P2,-75.45788358001664,-86.60123241954716,758.5659334772499,pelvis,muscle
glmax2_l-P1,-44.14113503381668,-89.32746040337952,787.6192197488272,pelvis,muscle
glmax2_l-P2,-79.86323771992465,-101.34389264069614,727.8376536869619,pelvis,muscle
glmax3_l-P1,-4.910184657011996,-124.43714229288162,736.1593461118755,pelvis,muscle
glmax3_l-P2,-41.37434824038064,-105.76215622010932,662.2429034093366,pelvis,muscle
glmed1_l-P1,-105.44951089939241,-13.38221732081729,785.0822476500762,pelvis,muscle
glmed2_l-P1,-78.0742863568521,-41.314943126461,812.2402442320599,pelvis,muscle
glmed3_l-P1,-60.03936301007343,-55.242951318155974,785.1038265682,pelvis,muscle
glmin1_l-P1,-106.0327367141399,2.707758913282305,760.8115417846711,pelvis,muscle
glmin2_l-P1,-92.34651148218654,-21.92239370130119,773.669035147177,pelvis,muscle
glmin3_l-P1,-72.78108018158309,-41.609051540726796,754.8782842872315,pelvis,muscle
grac_l-P1,-18.87656743759726,-38.18557209792198,638.2920265620487,pelvis,muscle
iliacus_l-P1,-77.5863879318822,-19.949582786066458,788.9628984057636,pelvis,muscle
iliacus_l-P2,-75.78508124497785,3.8235759324597893,703.5120711182099,pelvis,muscle
piri_l-P1,-8.947919491125504,-84.97921993103228,767.8332610740035,pelvis,muscle
piri_l-P2,-56.914558474105434,-69.91375479075941,746.8420613143098,pelvis,muscle
psoas_l-P1,-35.17582586877688,-20.369710736646084,810.5822849883698,pelvis,muscle
psoas_l-P2,-52.98415862062575,-2.6042142012738623,694.768513391813,pelvis,muscle
recfem_l-P1,-83.44674925415165,-4.7475172051345,723.3851911612437,pelvis,muscle
sart_l-P1,-95.05676744330776,12.839164798759157,744.5160971411096,pelvis,muscle
semimem_l-P1,-64.16247907007528,-86.66028836085752,662.9167836300039,pelvis,muscle
semiten_l-P1,-53.091434403595485,-91.52804020117037,653.606809277393,pelvis,muscle
tfl_l-P1,-115.85528013676594,6.238965795986587,768.8631867234071,pelvis,muscle
bflh_l-P2,-107.3393120833789,-48.895941906492226,274.45468649297027,tibia_l,muscle
bflh_l-P3,-113.74782811358455,-43.95476987934671,265.1973386459231,tibia_l,muscle
bfsh_l-P2,-115.24899681162788,-45.09176737489179,268.46143354680225,tibia_l,muscle
edl_l-P1,-99.9041723216651,-33.32176196249202,198.86494778144424,tibia_l,muscle
edl_l-P2,-109.84007265990658,5.393457620404661,-51.476671423530206,tibia_l,muscle
ehl_l-P1,-99.94324084359687,-31.89798774709925,160.10262003011667,tibia_l,muscle
ehl_l-P2,-105.98458279047918,-9.884510915959254,29.36905159743037,tibia_l,muscle
ehl_l-P3,-94.56165675293596,7.965504354331642,-45.70131229661638,tibia_l,muscle
fdl_l-P1,-77.82026518970088,-22.332998233148828,132.18858306205402,tibia_l,muscle
fdl_l-P2,-75.19485379249818,-24.255927338264883,-42.21409487209894,tibia_l,muscle
fhl_l-P1,-106.25976085534785,-46.83517527487129,99.60579806352689,tibia_l,muscle
fhl_l-P2,-79.95240981903044,-29.448046217206866,-44.70380804766319,tibia_l,muscle
grac_l-P2,-47.81670983947697,-40.393411924131215,262.954921804704,tibia_l,muscle
grac_l-P3,-59.69939517471357,-18.703809737577103,243.95612210625518,tibia_l,muscle
perbrev_l-P1,-114.41524283433682,-39.42299658386037,64.51003450179996,tibia_l,muscle
perbrev_l-P2,-118.45978351873055,-34.874495999421924,-65.1445426766295,tibia_l,muscle
perbrev_l-P3,-123.29542276744905,-30.596520162653178,-75.1936063112953,tibia_l,muscle
perlong_l-P1,-110.20734741049819,-36.695810137549415,177.54627777780115,tibia_l,muscle
perlong_l-P2,-116.54519154306035,-33.388220224529505,-65.14513563801302,tibia_l,muscle
perlong_l-P3,-122.00962528673699,-29.63948793616146,-76.0609126858908,tibia_l,muscle
recfem_l-P5,-88.44273980415892,10.442935841274448,251.938321475958,tibia_l,muscle
sart_l-P3,-45.29944577972492,-45.253167121321894,268.95255881318985,tibia_l,muscle
sart_l-P4,-48.119739791814936,-40.025529615115374,251.77079221507643,tibia_l,muscle
sart_l-P5,-74.36545772879617,-6.4957329977769405,233.79999059566308,tibia_l,muscle
semimem_l-P2,-59.82060086315323,-49.02544400608167,267.8893803880416,tibia_l,muscle
semiten_l-P2,-56.46366348225274,-52.54914314637426,259.32522892127616,tibia_l,muscle
semiten_l-P3,-63.44652694664546,-18.450037340982817,236.67387878035368,tibia_l,muscle
soleus_l-P1,-86.80222544584831,-26.119363122386858,222.76266186593762,tibia_l,muscle
tfl_l-P4,-117.92747344292002,-8.872111061355099,271.5264175405324,tibia_l,muscle
tibant_l-P1,-96.64727168375975,-4.531353898579255,184.50789516876557,tibia_l,muscle
tibant_l-P2,-95.44930171981105,3.7707933851052076,126.032935393976,tibia_l,muscle
tibant_l-P3,-89.94881376804551,9.062152995262295,-42.89694169333234,tibia_l,muscle
tibpost_l-P1,-88.06942252413137,-22.98934672330506,184.59744628507815,tibia_l,muscle
tibpost_l-P2,-69.63236114115716,-23.320578714832664,-43.2748919168298,tibia_l,muscle
vasint_l-P5,-89.06962831225246,10.440721393097192,251.938127921753,tibia_l,muscle
vaslat_l-P5,-95.11789840263373,8.564869899419136,251.93823450467312,tibia_l,muscle
vasmed_l-P5,-85.104822897556,10.650505759287626,251.0453938037508,tibia_l,muscle
