name,r,a,s
torso_origin_in_pelvis,5.528686568403807,-47.29487922929105,821.8042790392064
ASIS_l,-106.46688429765756,19.58516900553849,759.7979365244087
ASIS_r,115.03161524299477,22.191941651490247,760.1152402196313
PSIS_l,-45.32891167202638,-95.69636956222848,799.8376991246668
PSIS_r,58.21572193841352,-94.03732311067317,804.8419309219695
pub_infer_c,7.7937494939443965,-22.507148331736982,650.3330054879968
pub_super_c,7.5668612836973725,5.725147493233335,667.9108411430931
ilium_l,-91.23086739206614,-36.197187664078726,825.5883422885964
ilium_r,90.12663320762404,-36.00379748696471,834.1639466203143
femur_l_center_in_pelvis,-73.07890006861044,-34.57657526273062,689.7536959217222
femur_r_center_in_pelvis,90.1725734378349,-37.84194656660784,692.4640768929224
sacroiliac_l,-39.816697483512044,-81.2897155146385,787.6925011877304
sacroiliac_r,53.20668944392507,-80.1265897550143,791.9546810022503
5th_sacr_v,8.263851645803495,-100.92495699439215,732.0564980269173
AIIS_l,-81.75894932363623,-2.8019961157814177,726.1033255291038
AIIS_r,95.33471239569865,-3.2466933762909833,727.306795962529
isch_infer_l,-29.421623600533735,-62.235531113772055,638.3032932048471
isch_infer_r,46.86552650293352,-64.1852736323386,639.8836425848934
isch_spine_l,-50.25518025915926,-81.6659990397104,714.5304539173029
isch_spine_r,66.90279023928582,-83.25656168324906,718.0056057947128
isch_tuber_l,-44.04185045277174,-91.1969731662587,682.0111073572638
isch_tuber_r,61.44027798250637,-93.15551478560425,684.9226816783679
