name,r,a,s
addbrev_r-P1,23.427571088433265,-14.470295764893638,659.5966530733601
addlong_r-P1,26.422755999247638,-2.9077172884250473,662.0530029317657
addmagDist_r-P1,52.3697191106236,-63.291398902181186,645.1064969850703
addmagIsch_r-P1,54.942869697671526,-76.04417350362674,649.1488228990845
addmagMid_r-P1,38.96664075604596,-45.940906459923745,644.1291359003382
addmagProx_r-P1,22.14129630062535,-27.4217127291111,649.5039771058168
bflh_r-P1,74.27393192714672,-85.73452611004221,666.5266130564727
glmax1_r-P1,72.64903482337567,-79.55593843035436,812.1525491089924
glmax1_r-P2,97.58968052228981,-90.84754591644311,769.6698161665602
glmax2_r-P1,65.19659685914593,-90.34797330444835,796.7926190578902
glmax2_r-P2,101.41402270816202,-103.14559849113982,738.2895937546109
glmax3_r-P1,19.28926181334383,-98.74954842980503,741.0263318141715
glmax3_r-P2,58.277864584544155,-106.45510609333725,667.1383776393012
glmed1_r-P1,112.28138941693265,-21.27603755232454,794.3842293515031
glmed2_r-P1,86.98238741490519,-48.83790127655183,817.8409151473562
glmed3_r-P1,78.26377213352387,-62.940768555755575,791.9506936801853
glmin1_r-P1,113.71711107877341,-4.493191224579631,768.9015037407056
glmin2_r-P1,104.68848361110396,-32.389742997523804,782.0109898055972
glmin3_r-P1,91.87310474454726,-48.986987216742826,761.86097892201
grac_r-P1,34.468104811583515,-43.07539078929042,634.0411068995696
iliacus_r-P1,87.10972717648824,-29.695116616170655,795.1186461559656
iliacus_r-P2,79.76486373928056,2.4283401492900394,704.6915464783764
piri_r-P1,23.936120569652868,-66.28181501330015,770.4476402070651
piri_r-P2,77.79942268986771,-70.9544275804588,754.0069460596801
psoas_r-P1,42.70071668114612,-22.319656536874746,807.4801348204212
psoas_r-P2,72.41353630738982,-5.939017030313333,694.6577564589942
recfem_r-P1,95.33471239569865,-3.2466933762909833,727.306795962529
sart_r-P1,102.41792300021854,3.4846341757336803,750.7265834182936
semimem_r-P1,77.19787417654071,-80.48087202581021,669.8794571487575
semiten_r-P1,66.36345623199313,-86.68083817045196,659.6636114382889
tfl_r-P1,120.05418449355827,4.116482565113236,777.8402496168087
addbrev_l-P1,-7.852970261138439,-13.777827816201349,659.3213952364891
addlong_l-P1,-10.950052811632647,-2.2123013399056193,661.8492703547306
addmagDist_l-P1,-34.76023447577102,-61.07488469027197,643.6243577732495
addmagIsch_l-P1,-37.24662598380928,-73.85874099087599,647.0485797812713
addmagMid_l-P1,-22.19612603266793,-44.29884797215812,643.0797923441083
addmagProx_l-P1,-6.274124055978507,-26.70090805275548,649.1557899230212
bflh_l-P1,-56.39152194809491,-83.0986035014678,663.3457997642868
glmax1_l-P1,-62.04804547000218,-81.01858812044887,805.6135643547697
glmax1_l-P2,-83.88607244742448,-90.97191852565136,763.1451001067998
glmax2_l-P1,-52.18634857688376,-91.84327004399113,791.4106213098087
glmax2_l-P2,-85.54825651052535,-101.98335825907579,732.3867800016217
glmax3_l-P1,-2.9963381155606834,-98.64818927558633,740.2187261012803
glmax3_l-P2,-40.17553661529374,-104.70140130606568,664.4909253757427
glmed1_l-P1,-106.88793748049487,-22.367930875586215,788.7981158138255
glmed2_l-P1,-82.67087213861943,-49.586709911306876,810.3328403802374
glmed3_l-P1,-67.44580283599221,-63.868917498001395,786.2746965342039
glmin1_l-P1,-104.82025350858721,-6.353966762063048,766.4093941982717
glmin2_l-P1,-96.28327284680583,-33.01225530957657,776.7110338648034
glmin3_l-P1,-79.32327585910048,-48.674722272741015,757.0068914810987
grac_l-P1,-17.614301903883348,-41.70771108504169,633.2117005863549
iliacus_l-P1,-80.67791819461958,-30.323251924119578,789.4671840696188
iliacus_l-P2,-64.93649837040051,3.5368734488018028,704.0639579662699
piri_l-P1,-9.329403342529247,-66.4804358065719,769.0919813695645
piri_l-P2,-63.1516413486761,-70.46514498697515,749.3696641710017
psoas_l-P1,-35.80274330199065,-22.559308906961242,803.77083495235
psoas_l-P2,-56.8250296901154,-4.224332877400831,693.7460737489698
recfem_l-P1,-82.0230338588194,-2.782512694156873,726.3537914465777
sart_l-P1,-91.59692040013567,2.43517540308005,749.4961815315233
semimem_l-P1,-59.41162844359125,-77.675138816062,666.6228232049166
semiten_l-P1,-48.445353750906094,-84.27356908497981,656.8749185929057
tfl_l-P1,-113.0895095326138,2.200106296987487,775.3951239064912
