name,r,a,s
Gmax1_at_pelvis_r,75.79383090464145,-60.0572039479115,676.8088170130093
Gmax2_at_pelvis_r,83.57666796258054,-59.56282964017137,694.8209252293693
Gmax3_at_pelvis_r,83.80429627377562,-62.93580398893672,690.8637326741335
Gmax1_at_pelvis_l,-58.340351169555376,-56.975831867708955,673.9580646140856
Gmax2_at_pelvis_l,-66.39483022469247,-56.54637407325566,691.48390257813
Gmax3_at_pelvis_l,-66.49145623473592,-59.880682115133155,687.4784967693838
PS_at_brim_r,80.02002836308586,-50.84644719553367,715.7570020727566
PS_at_brim_l,-63.79549070625516,-48.54315083997584,712.5028519447143
IL_at_brim_r,89.89080151163643,-48.5517515566356,710.8670063503049
IL_at_brim_l,-73.43492703999749,-45.86231503015987,707.4640192602203
