name,r,a,s
knee_l_center,-72.87932772167221,-19.56813985989325,307.13253614985143
fibula_l_lat_malleol_tip,-123.68205472378108,-23.590963172228335,-80.49233500686826
tibia_l_med_malleol_tip,-73.88170280700288,-5.158497237780775,-69.7079413760703
ankle_l_lat,-141.40891146069544,-21.094143519037573,-59.16734105262286
ankle_l_med,-59.171820606779185,-8.357345202351787,-56.84225842526143
ankle_l_center,-100.4046264347789,-14.613414405552833,-58.04571864718221
talus_l_center_in_tibia,-96.97070694211172,-15.907605986871676,-75.19861038523158
tibia_l_center,-80.32530145919576,-21.80752701653503,276.62684349076653
tibia_l_lat,-120.9301941231918,-20.290867648341823,277.96766933575066
tibia_l_med,-39.0266644890707,-23.81699545743787,274.8883100897729
tibia_l_epiph_yellow_anterior_plate,-78.94144324825618,-3.4749940220377527,284.613185523572
tibia_l_epiph_yellow_patel_tend_point,-77.55696532615252,5.031793619974394,251.82932519158044
tibia_l_epiph_yellow_posteriormost,-81.20265700211483,-44.84444403785977,273.3591322880991
tibia_l_ankle_yellow_anter,-92.2370756739389,2.3727872010911053,-46.37880429452923
tibia_l_epiph_green_medial_lower_epiph,-58.98504124102799,-22.992746203093205,253.73383084214106
fibula_l_as,-102.22091939518758,-23.832142453516497,250.82550571650364
tibia_l_midshaft_anter,-94.02443637188978,1.4164283097960086,116.7420722124978
tibia_l_midshaft_poster,-81.78175510750869,-22.55053761786054,115.76765547054728
fibula_l_midshaft_anter,-114.01419575191824,-31.57349839389411,116.12883413710132
tibia_l_anter_diaph_25,-91.8729545777319,3.60476203872272,215.5718360362019
tibia_l_anter_diaph_75,-95.94659925018851,0.008086758292366436,20.626948841343648
fibula_l_anter_diaph_75,-114.80759647965353,-24.335422160761986,20.42956812515689
